"Scenario","Year","Mean_Sea_Level_m","Portland_Annual_Temp","Belfast_Annual_Temp","Moosehead_Annual_Temp","Gardiner_Annual_Temp","Augusta_Annual_Temp","Annual_NAO","Civilian_Population_Millions","State_Population","species","Total_Weight_kg","Total_Value","Avg_Market_Price","County","Lobster_Pounds","Lobster_Value","ENSO_Phase","Portland_Annual_Precip","Belfast_Annual_Precip","Moosehead_Annual_Precip","Gardiner_Annual_Precip","Augusta_Annual_Precip","GDP..Billions.of.US...","Per.Capita..US...","Annual...Change","Civilian.Population..Millions.","Fresh.And.Frozen..Pounds.","Canned..Pounds.","Cured..Pounds.","Total..Pounds.","Fishery_Exports","Predicted_Landings","Predicted_Consumption","Predicted_Exports","Predicted_Market_Value","Predicted_Blue_Economy_Value"
"Baseline",2020,2.14057669631836,47.6642779785755,51.6908669120731,45.2266076346275,46.3049793633605,46.3049793633605,0.0110275863263301,333.163699642443,1392686.06693021,"Yellow Eel",444353.339666667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,444353.339666667,16.9748732882324,2923850.77685,1.1641673816211,343805.241
"Baseline",2021,2.14260539518353,47.713449345185,51.8066028926976,45.7008452055285,46.3285252307131,46.3285252307131,0.0130604449058973,335.802105426778,1399615.04524595,"Yellow Eel",535635.3636,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,535635.3636,16.9487891881552,2880700.71921667,1.16340790870743,518647.3644
"Baseline",2022,2.1446340940487,47.7626207117944,51.9223388733221,46.1750827764296,46.3520710980657,46.3520710980657,0.0150933034854646,338.440511211114,1406544.02356168,"Yellow Eel",563177.079116667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,563177.079116667,16.9520256027008,2879886.67421667,1.16340790870743,522045.3678
"Baseline",2023,2.14666279291387,47.8117920784039,52.0380748539466,46.6493203473306,46.3756169654184,46.3756169654184,0.0171261620650318,341.07891699545,1413473.00187742,"Yellow Eel",563177.079116667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,563177.079116667,16.9520256027008,2879886.67421667,1.16340790870743,522045.3678
"Baseline",2024,2.14869149177903,47.8609634450134,52.1538108345711,47.1235579182317,46.399162832771,46.399162832771,0.0191590206445991,343.717322779785,1420401.98019315,"Yellow Eel",563157.214116667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,563157.214116667,16.9520256027008,2879886.67421667,1.16340790870743,522045.3678
"Baseline",2025,2.1507201906442,47.9101348116229,52.2695468151956,47.5977954891326,46.4227087001236,46.4227087001236,0.0211918792241663,346.355728564121,1427330.95850889,"Yellow Eel",563091.210116667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,563091.210116667,16.9520256027008,2879886.67421667,1.16340790870743,522045.3678
"Baseline",2026,2.15274888950937,47.9593061782323,52.3852827958201,48.0720330600336,46.4462545674762,46.4462545674762,0.0232247378037336,348.994134348456,1434259.93682463,"Yellow Eel",563091.210116667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,563091.210116667,16.9520256027008,2879886.67421667,1.16340790870743,522045.3678
"Baseline",2027,2.15477758837454,48.0084775448418,52.5010187764446,48.5462706309347,46.4698004348288,46.4698004348288,0.0252575963833008,351.632540132792,1441188.91514037,"Yellow Eel",563052.588916667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,563052.588916667,16.9520256027008,2879886.67421667,1.16340790870743,522045.3678
"Baseline",2028,2.15680628723971,48.0576489114513,52.6167547570691,49.0205082018357,46.4933463021815,46.4933463021815,0.0272904549628681,354.270945917127,1448117.8934561,"Yellow Eel",561650.507916667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,561650.507916667,16.9487891881552,2879886.67421667,1.16340790870743,519832.0068
"Baseline",2029,2.15883498610488,48.1068202780607,52.7324907376936,49.4947457727368,46.5168921695341,46.5168921695341,0.0293233135424353,356.909351701463,1455046.87177184,"Yellow Eel",561241.292916667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,561241.292916667,16.9487891881552,2879886.67421667,1.16340790870743,519832.0068
"Baseline",2030,2.16086368497004,48.1559916446702,52.8482267183181,49.9689833436378,46.5404380368867,46.5404380368867,0.0313561721220026,359.547757485799,1461975.85008758,"Yellow Eel",561241.292916667,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,561241.292916667,16.9487891881552,2879886.67421667,1.16340790870743,519832.0068
"Baseline",2031,2.16289238383521,48.2051630112797,52.9639626989426,50.4432209145388,46.5639839042393,46.5639839042393,0.0333890307015698,362.186163270134,1468904.82840331,"Yellow Eel",561825.36665,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,561825.36665,16.9487891881552,2879886.67421667,1.16340790870743,519832.0068
"Baseline",2032,2.16492108270038,48.2543343778892,53.0796986795671,50.9174584854399,46.5875297715919,46.5875297715919,0.0354218892811371,364.824569054469,1475833.80671905,"Yellow Eel",561825.36665,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,561825.36665,16.9487891881552,2879886.67421667,1.16340790870743,519832.0068
"Baseline",2033,2.16694978156555,48.3035057444986,53.1954346601916,51.3916960563408,46.6110756389446,46.6110756389446,0.0374547478607044,367.462974838805,1482762.78503479,"Yellow Eel",561678.599033334,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,1345770,0.42,0.09,327.1,15.1,3.8,0.3,19.3,5030274,561678.599033334,16.9487891881552,2879886.67421667,1.16340790870743,519832.0068
