"Scenario","Year","Mean_Sea_Level_m","Portland_Annual_Temp","Belfast_Annual_Temp","Moosehead_Annual_Temp","Gardiner_Annual_Temp","Augusta_Annual_Temp","Civilian.Population..Millions.","State_Population","Annual_Inflation","species","Total_Weight_kg","Total_Value","Avg_Market_Price","County","Lobster_Pounds","Lobster_Value","ENSO_Phase","Portland_Annual_Precip","Belfast_Annual_Precip","Moosehead_Annual_Precip","Gardiner_Annual_Precip","Augusta_Annual_Precip","Annual_NAO","GDP..Billions.of.US...","Per.Capita..US...","Annual...Change","Fresh.And.Frozen..Pounds.","Canned..Pounds.","Cured..Pounds.","Total..Pounds.","Fishery_Exports","biomass_mean_region","fishing_pressure_mean_region","Fish_Seafood_Production","Annual_CPI","Predicted_Landings","Predicted_Consumption","Predicted_Exports","Predicted_Market_Value","Predicted_Blue_Economy_Value"
"Baseline",2020,2.14057669631836,47.6642779785755,51.6908669120731,45.2266076346275,46.3049793633605,46.3049793633605,333.163699642443,1392686.06693021,1.82462441006302,"Yellow Eel",290530.200258333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,290530.200258333,19.2165199999998,5114798.941,1.93355867237387,720616.847
"Baseline",2021,2.14260539518353,47.713449345185,51.8066028926976,45.7008452055285,46.3285252307131,46.3285252307131,335.802105426778,1399615.04524595,1.77701049554618,"Yellow Eel",268607.939308333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,268607.939308333,18.7204699999998,5104553.7045,1.93003293480703,568816.1385
"Baseline",2022,2.1446340940487,47.7626207117944,51.9223388733221,46.1750827764296,46.3520710980657,46.3520710980657,338.440511211114,1406544.02356168,1.72939658102932,"Yellow Eel",268539.907308333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,268539.907308333,18.7204699999998,5104553.7045,1.93003293480703,568770.192
"Baseline",2023,2.14666279291387,47.8117920784039,52.0380748539466,46.6493203473306,46.3756169654184,46.3756169654184,341.07891699545,1413473.00187742,1.68178266651248,"Yellow Eel",271016.067308333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,271016.067308333,18.7204699999998,5104553.7045,1.92710804663261,581583.877
"Baseline",2024,2.14869149177903,47.8609634450134,52.1538108345711,47.1235579182317,46.399162832771,46.399162832771,343.717322779785,1420401.98019315,1.63416875199563,"Yellow Eel",269892.890033333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,269892.890033333,18.7204699999998,5104553.7045,1.92698151833888,581583.877
"Baseline",2025,2.1507201906442,47.9101348116229,52.2695468151956,47.5977954891326,46.4227087001236,46.4227087001236,346.355728564121,1427330.95850889,1.58655483747877,"Yellow Eel",269892.890033333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,269892.890033333,18.7204699999998,5104553.7045,1.92352843982605,581583.877
"Baseline",2026,2.15274888950937,47.9593061782323,52.3852827958201,48.0720330600336,46.4462545674762,46.4462545674762,348.994134348456,1434259.93682463,1.53894092296193,"Yellow Eel",250307.032433333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,250307.032433333,18.7209199999998,5106034.944,1.92186578457086,549273.8578
"Baseline",2027,2.15477758837454,48.0084775448418,52.5010187764446,48.5462706309347,46.4698004348288,46.4698004348288,351.632540132792,1441188.91514037,1.49132700844508,"Yellow Eel",250307.032433333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,250307.032433333,18.7209199999998,5106034.944,1.92186578457086,559139.6298
"Baseline",2028,2.15680628723971,48.0576489114513,52.6167547570691,49.0205082018357,46.4933463021815,46.4933463021815,354.270945917127,1448117.8934561,1.44371309392822,"Yellow Eel",250849.374433333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,250849.374433333,18.7209199999998,5106034.944,1.91957245403888,558496.9218
"Baseline",2029,2.15883498610488,48.1068202780607,52.7324907376936,49.4947457727368,46.5168921695341,46.5168921695341,356.909351701463,1455046.87177184,1.39609917941138,"Yellow Eel",250849.374433333,8214,3.19984417608103,"YORK",3747664,19546973,1,52.4,53.53,50.15,43.04,43.04,-0.318333333333333,1345770,0.42,0.09,15.1,3.8,0.3,19.3,5030274,0.83919598,0.64375,5290540,2.2,250849.374433333,18.7209199999998,5106034.944,1.91957245403888,558496.9218
